state,district,Population,Sex_Ratio,Literacy_Rate,Density
Madhya Pradesh,Agar Malwa,#N/A,#N/A,#N/A,#N/A
Uttar Pradesh,Agra,4418797,868,0.7158,1093
Gujarat,Ahmedabad,7214225,904,0.8531,890
Maharashtra,Ahmednagar,4543159,939,0.7905,266
Mizoram,Aizawl,400309,1009,0.9789,112
Rajasthan,Ajmer,2583052,951,0.6933,305
Maharashtra,Akola,1813906,946,0.8805,320
Kerala,Alappuzha,2127789,1100,0.9572,1504
Uttar Pradesh,Aligarh,3673889,882,0.6752,1007
West Bengal,Alipurduar,#N/A,#N/A,#N/A,#N/A
Madhya Pradesh,Alirajpur,728999,1011,0.361,229
Uttarakhand,Almora,622506,1139,0.8047,198
Rajasthan,Alwar,3674179,895,0.7072,438
Haryana,Ambala,1128350,885,0.8175,717
Uttar Pradesh,Ambedkar Nagar,2397888,978,0.7223,1020
Uttar Pradesh,Amethi,#N/A,#N/A,#N/A,#N/A
Maharashtra,Amravati,2888445,951,0.8738,237
Gujarat,Amreli,1514190,964,0.7425,205
Punjab,Amritsar,2490656,889,0.7627,928
Uttar Pradesh,Amroha,#N/A,#N/A,#N/A,#N/A
Gujarat,Anand,2092745,925,0.8437,653
Andhra Pradesh,Anantapur,4081148,977,0.6357,213
Jammu and Kashmir,Anantnag,1078692,927,0.6269,302
Odisha,Angul,1273821,943,0.7753,200
Arunachal Pradesh,Anjaw,21167,839,0.5646,3
Madhya Pradesh,Anuppur,749237,976,0.6788,200
Bihar,Araria,#N/A,#N/A,#N/A,#N/A
Gujarat,Aravalli,#N/A,#N/A,#N/A,#N/A
Tamil Nadu,Ariyalur,754894,1015,0.7134,389
Bihar,Arwal,700843,928,0.6743,1098
Madhya Pradesh,Ashoknagar,845071,904,0.6642,181
Uttar Pradesh,Auraiya,1379545,864,0.7895,684
Bihar,Aurangabad,2540073,926,0.7032,769
Maharashtra,Aurangabad,3701282,923,0.7902,366
Maharashtra,Aurangabad,2540073,926,0.7032,769
Uttar Pradesh,Ayodhya,#N/A,#N/A,#N/A,#N/A
Uttar Pradesh,Azamgarh,4613913,1019,0.7093,1138
Karnataka,Bagalkote,1889752,989,0.6882,288
Uttarakhand,Bageshwar,259898,1090,0.8001,116
Uttar Pradesh,Baghpat,1303048,861,0.7201,986
Uttar Pradesh,Bahraich,3487731,892,0.4936,666
Madhya Pradesh,Balaghat,1701698,1021,0.7709,184
Odisha,Balangir,1648997,987,0.6472,251
Odisha,Balasore,#N/A,#N/A,#N/A,#N/A
Karnataka,Ballari,2452595,983,0.6743,290
Uttar Pradesh,Ballia,3239774,937,0.7094,1087
Chhattisgarh,Balod,#N/A,#N/A,#N/A,#N/A
Chhattisgarh,Baloda Bazar,#N/A,#N/A,#N/A,#N/A
Chhattisgarh,Balrampur,2148665,928,0.4951,642
Chhattisgarh,Balrampur,2148665,928,0.4951,642
Uttar Pradesh,Balrampur,2148665,928,0.4951,642
Uttar Pradesh,Balrampur,2148665,928,0.4951,642
Chhattisgarh,Bametara,#N/A,#N/A,#N/A,#N/A
Gujarat,Banaskantha,3120506,938,0.6532,290
Uttar Pradesh,Banda,1799410,863,0.6667,408
Jammu and Kashmir,Bandipora,392232,889,0.5628,1137
Bihar,Banka,2034763,907,0.5817,674
West Bengal,Bankura,3596674,957,0.7026,523
Rajasthan,Banswara,1797485,980,0.5633,397
Uttar Pradesh,Barabanki,3260699,910,0.6175,741
Jammu and Kashmir,Baramulla,#N/A,#N/A,#N/A,#N/A
Rajasthan,Baran,1222755,929,0.6666,175
Uttar Pradesh,Bareilly,4448359,887,0.5849,1080
Odisha,Bargarh,1481255,977,0.7462,254
Rajasthan,Barmer,2603751,902,0.5653,92
Punjab,Barnala,595527,876,0.6782,402
Madhya Pradesh,Barwani,1385881,982,0.4908,255
Chhattisgarh,Bastar,1413199,1023,0.544,135
Uttar Pradesh,Basti,2464464,963,0.6722,917
Punjab,Bathinda,1388525,868,0.6828,414
Maharashtra,Beed,#N/A,#N/A,#N/A,#N/A
Bihar,Begusarai,2970541,895,0.6387,1549
Karnataka,Belagavi,4779661,973,0.7348,356
Karnataka,Bengaluru Rural,990923,946,0.7793,431
Karnataka,Bengaluru Urban,9621551,916,0.8767,4381
Madhya Pradesh,Betul,1575362,971,0.689,157
Uttar Pradesh,Bhadohi,#N/A,#N/A,#N/A,#N/A
Odisha,Bhadrak,1506337,981,0.8278,601
Bihar,Bhagalpur,3037766,880,0.6314,1182
Maharashtra,Bhandara,1200334,982,0.8376,294
Rajasthan,Bharatpur,2548462,880,0.7011,503
Gujarat,Bharuch,1551019,925,0.8151,238
Gujarat,Bhavnagar,2880365,933,0.7552,287
Rajasthan,Bhilwara,2408523,973,0.6137,230
Madhya Pradesh,Bhind,1703005,837,0.7526,382
Haryana,Bhiwani,1634445,886,0.7521,342
Bihar,Bhojpur,2728407,907,0.7047,1139
Madhya Pradesh,Bhopal,2371061,918,0.8037,855
Karnataka,Bidar,1703300,956,0.7051,313
Chhattisgarh,Bijapur,255230,984,0.4086,30
Uttar Pradesh,Bijnor,3682713,917,0.6848,807
Rajasthan,Bikaner,2363937,905,0.6513,78
Chhattisgarh,Bilaspur,2663629,971,0.7078,322
Himachal Pradesh,Bilaspur,2663629,971,0.7078,322
Himachal Pradesh,Bilaspur,2663629,971,0.7078,322
West Bengal,Birbhum,3502404,956,0.7068,771
Jharkhand,Bokaro,2062330,922,0.7201,715
Gujarat,Botad,#N/A,#N/A,#N/A,#N/A
Odisha,Boudh,#N/A,#N/A,#N/A,#N/A
Uttar Pradesh,Budaun,3681896,871,0.5129,712
Jammu and Kashmir,Budgam,#N/A,#N/A,#N/A,#N/A
Uttar Pradesh,Bulandshahr,#N/A,#N/A,#N/A,#N/A
Maharashtra,Buldhana,2586258,934,0.834,268
Rajasthan,Bundi,1110906,925,0.6152,192
Madhya Pradesh,Burhanpur,757847,951,0.6436,221
Bihar,Buxar,1706352,922,0.7014,1002
Karnataka,Chamarajanagara,1020791,993,0.6143,181
Himachal Pradesh,Chamba,519080,986,0.7217,80
Uttarakhand,Chamoli,391605,1019,0.8265,49
Uttarakhand,Champawat,259648,980,0.7983,147
Mizoram,Champhai,125745,984,0.9591,39
Uttar Pradesh,Chandauli,1952756,918,0.7148,768
Chandigarh,Chandigarh,1055450,0,0.8605,0
Maharashtra,Chandrapur,2204307,961,0.8001,193
Arunachal Pradesh,Changlang,148226,926,0.598,32
Haryana,Charkhi Dadri,#N/A,#N/A,#N/A,#N/A
Jharkhand,Chatra,1042886,953,0.6018,280
Tamil Nadu,Chengalpattu,#N/A,#N/A,#N/A,#N/A
Tamil Nadu,Chennai,4646732,989,0.9018,26553
Madhya Pradesh,Chhatarpur,1762375,883,0.6374,203
Madhya Pradesh,Chhindwara,2090922,964,0.7116,177
Gujarat,Chhota Udaipur,#N/A,#N/A,#N/A,#N/A
