state,district,population,latitude,longitude
Telangana,Adilabad,708952,19.5,78.5
Madhya Pradesh,Agar Malwa,571275,23.9342963,76.14523314
Uttar Pradesh,Agra,4380793,27.1752554,78.0098161
Gujarat,Ahmedabad,7208200,23.0216238,72.5797068
Maharashtra,Ahmednagar,4543083,19.1627725,74.8580243
Mizoram,Aizawl,404054,23.7435236,92.7382905
Rajasthan,Ajmer,2584913,26.4691,74.639
Maharashtra,Akola,1818617,20.7618624,77.19217163
Kerala,Alappuzha,2121943,9.5006651,76.41241429
Uttar Pradesh,Aligarh,3673849,27.87698975,78.13729028
West Bengal,Alipurduar,1700000,26.4851573,89.5246926
Madhya Pradesh,Alirajpur,728677,22.28593955,74.35468609
Uttarakhand,Almora,621927,29.703095,79.43317023
Rajasthan,Alwar,3671999,27.63907705,76.61445249
Haryana,Ambala,1136784,30.3843674,76.770421
Uttar Pradesh,Ambedkar Nagar,2398709,26.40349795,82.60728149
Uttar Pradesh,Amethi,2549935,26.34738315,81.62387832
Maharashtra,Amravati,2887826,21.15454115,77.64429618
Gujarat,Amreli,1513614,20.866667,70.75
Punjab,Amritsar,2490891,31.6343083,74.8736788
Uttar Pradesh,Amroha,1838771,28.9233969,78.48831693
Gujarat,Anand,2090276,22.5584995,72.9625629
Andhra Pradesh,Anantapur,4083315,14.6546235,77.55625984
Jammu and Kashmir,Anantnag,1070144,33.7368773,75.1455138
Odisha,Angul,1271703,20.8382426,85.0973949
Arunachal Pradesh,Anjaw,21089,28.1114301,96.82699963
Madhya Pradesh,Anuppur,749521,23.03525965,81.38844385
Bihar,Araria,2806200,26.26498795,87.37162648
Gujarat,Aravalli,1051746,47.81886375,-122.2159798
Tamil Nadu,Ariyalur,752481,11.07603595,79.11745538
Bihar,Arwal,700843,25.18077715,84.65920203
Madhya Pradesh,Ashoknagar,844979,24.576189,77.7302895
Uttar Pradesh,Auraiya,1372287,26.65573395,79.51504701
Bihar,Aurangabad,2511243,19.877263,75.3390241
Maharashtra,Aurangabad,3695928,19.877263,75.3390241
Uttar Pradesh,Ayodhya,2468371,26.7990707,82.2052321
Uttar Pradesh,Azamgarh,4616509,26.02269675,83.02887343
Karnataka,Bagalkote,1890826,16.1853166,75.6967919
Uttarakhand,Bageshwar,259840,30.0086722,79.9302968
Uttar Pradesh,Baghpat,1302156,28.97240405,77.33315285
Uttar Pradesh,Bahraich,2384239,27.7336958,81.47732128
Assam,Baksa,953773,32.11935,34.970718
Madhya Pradesh,Balaghat,1701156,21.8114,80.1995
Odisha,Balangir,1648574,20.7502257,83.2499464
Odisha,Balasore,2317419,21.5002888,86.9202627
Karnataka,Ballari,2532383,15.2485413,76.8323648
Uttar Pradesh,Ballia,3223642,25.87793255,84.11995931
Chhattisgarh,Balod,826165,20.73218365,81.14335738
Chhattisgarh,Baloda Bazar,1305343,21.57264595,82.43670692
Chhattisgarh,Balrampur,598855,27.4504805,82.39541774
Uttar Pradesh,Balrampur,2149066,27.4504805,82.39541774
Chhattisgarh,Bametara,197035,21.7155,81.5348
Gujarat,Banaskantha,3116045,24.08556,72.144234
Uttar Pradesh,Banda,1799541,25.5008211,80.499762
Jammu and Kashmir,Bandipora,385099,34.49750275,74.69995089
Bihar,Banka,2029339,24.8655681,86.87278642
West Bengal,Bankura,3596292,23.13195425,87.2073972
Rajasthan,Banswara,1798194,23.4930788,74.34840231
Uttar Pradesh,Barabanki,3257983,26.93823105,81.38609761
Jammu and Kashmir,Baramulla,1015503,34.20500565,74.36221081
Rajasthan,Baran,1223921,24.9171512,76.69640322
Uttar Pradesh,Bareilly,4465344,28.457876,79.40557094
Odisha,Bargarh,1478833,21.3477634,83.65768299
Rajasthan,Barmer,2604453,25.5819034,71.61966243
Punjab,Barnala,596294,30.3704685,75.50401742
Assam,Barpeta,1693190,26.34142215,91.01674328
Madhya Pradesh,Barwani,1385659,21.75194325,74.89175175
Chhattisgarh,Bastar,1302253,19.11912825,81.82918649
Uttar Pradesh,Basti,2461056,26.724789,82.79326865
Punjab,Bathinda,1388859,30.17911535,75.04710156
Maharashtra,Beed,2585962,18.9904059,75.7542291
Bihar,Begusarai,2954367,25.5127194,86.09057109
Karnataka,Belagavi,4778439,15.8572666,74.5069343
Karnataka,Bengaluru Rural,987257,13.18077825,77.34174237
Karnataka,Bengaluru Urban,9588910,12.94514225,77.553645
Madhya Pradesh,Betul,1575247,21.8796162,77.87568125
Uttar Pradesh,Bhadohi,1554203,25.42292275,82.48843708
Telangana,Bhadradri Kothagudem,1304811,17.71534525,80.57149762
Odisha,Bhadrak,1506522,21.0633288,86.5053731
Bihar,Bhagalpur,3032226,25.28669805,87.13225355
Maharashtra,Bhandara,1198810,27.6042854,84.64526208
Rajasthan,Bharatpur,2549121,27.26521245,77.36912555
Gujarat,Bharuch,1550822,21.75,73
Gujarat,Bhavnagar,2877961,21.7718836,72.1416449
Rajasthan,Bhilwara,2410459,25.48877345,74.69961284
Madhya Pradesh,Bhind,1703562,26.5,78.75
Haryana,Bhiwani,1629109,28.7931703,76.1391283
Bihar,Bhojpur,2720155,25.25,84.25
Madhya Pradesh,Bhopal,2368145,23.2584857,77.401989
Karnataka,Bidar,1700018,18.083333,77.333333
Chhattisgarh,Bijapur,229832,18.7935679,80.815939
Uttar Pradesh,Bijnor,3683896,29.40604895,78.4808784
Rajasthan,Bikaner,2367745,28.0159286,73.3171367
Chhattisgarh,Bilaspur,1961922,22.078642,82.152328
Himachal Pradesh,Bilaspur,382056,22.078642,82.152328
West Bengal,Birbhum,3502387,24,87.583333
Manipur,Bishnupur,240363,24.56246365,93.80124837
Assam,Biswanath,612491,26.7773957,93.25694367
Jharkhand,Bokaro,2061918,23.69912795,85.99106894
Assam,Bongaigaon,732639,26.4800126,90.5580387
Gujarat,Botad,656005,22.1686,71.6685
Odisha,Boudh,439917,20.8415619,84.3213321
Uttar Pradesh,Budaun,3712738,28.06831165,79.04607312
Jammu and Kashmir,Budgam,735753,34.04796585,74.74413978
Uttar Pradesh,Bulandshahr,3498507,28.38886085,77.97479773
Maharashtra,Buldhana,2588039,20.583333,76.416667
Rajasthan,Bundi,1113725,25.5,75.833333
Madhya Pradesh,Burhanpur,756993,26.2697215,82.99442537
Bihar,Buxar,1707643,25.5620715,84.01567205
Assam,Cachar,1736319,24.75863995,92.88166476
Karnataka,Chamarajanagara,1020962,11.9238058,76.9393558
Himachal Pradesh,Chamba,518844,32.518429,76.23086566
Uttarakhand,Chamoli,391114,30.4996323,79.61879246
Uttarakhand,Champawat,259315,29.23631315,80.10172077
Mizoram,Champhai,125370,23.6317319,93.34931854
Uttar Pradesh,Chandauli,1952713,25.1265777,83.24965577
Manipur,Chandel,144028,24.3197442,94.02109882
Chandigarh,Chandigarh,1055450,30.7334421,76.7797143
Maharashtra,Chandrapur,2194262,20,80
Arunachal Pradesh,Changlang,147951,27.1398402,95.7382485
Assam,Charaideo,471418,27.06971635,95.06426298
Haryana,Charkhi Dadri,502276,28.5919933,76.2719817
Jharkhand,Chatra,1042304,24.20162495,84.87817692
Tamil Nadu,Chengalpattu,2556244,12.6840886,79.9836371
Tamil Nadu,Chennai,7100000,13.0836939,80.270186
Madhya Pradesh,Chhatarpur,1762857,24.75,79.75
Madhya Pradesh,Chhindwara,2090306,22.13983105,78.80964495
Gujarat,Chhota Udaipur,1071831,22.3148736,74.0141067
Karnataka,Chikkaballapura,1254377,13.4358702,77.7312434
Karnataka,Chikkamagaluru,1137753,13.5,75.5
Assam,Chirang,481818,26.6464231,90.62415699
Karnataka,Chitradurga,1660378,14.2266443,76.4005122
Uttar Pradesh,Chitrakoot,990626,25.2195207,81.10228243
Andhra Pradesh,Chittoor,4170468,13.1601048,79.15555062
Rajasthan,Chittorgarh,1544392,24.718026,74.47214697
Manipur,Churachandpur,271274,24.378704,93.6970015
Rajasthan,Churu,2041172,28.2061443,74.6919073
Tamil Nadu,Coimbatore,3472578,11.0018115,76.9628425
West Bengal,Cooch Behar,2822780,26.3223696,89.4592445
Tamil Nadu,Cuddalore,2600880,11.7564329,79.7634644
Odisha,Cuttack,2618708,20.4686,85.8792
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,343709,20.2733604,73.0044988
Gujarat,Dahod,2126558,22.8358542,74.2556782
Chhattisgarh,Dakshin Bastar Dantewada,533638,18.49996,81.37964
West Bengal,Dakshin Dinajpur,1670931,25.38703085,88.50471505
Karnataka,Dakshina Kannada,2083625,12.9324457,74.9813132
Dadra and Nagar Haveli and Daman and Diu,Daman,191173,20.42000485,72.8637629
Madhya Pradesh,Damoh,1263703,23.75,79.583333
Gujarat,Dang,226769,20.6942515,73.5703741
Bihar,Darbhanga,3921971,26.08314325,86.03257097
West Bengal,Darjeeling,1842034,27.0377554,88.263176
Assam,Darrang,908090,26.75,92.5
Madhya Pradesh,Datia,786375,25.75,78.5
Rajasthan,Dausa,1637226,26.80486585,76.4437457
Karnataka,Davanagere,1946905,14.4661266,75.9206361
Uttarakhand,Dehradun,1698560,30.3255646,78.0436813
Delhi,Delhi,19814000,28.6517178,77.2219388
Odisha,Deogarh,312164,21.5370786,84.7301184
Jharkhand,Deoghar,1491879,24.4766423,86.60673245
Uttar Pradesh,Deoria,3098637,26.42384715,83.76273169
Gujarat,Devbhumi Dwarka,752484,23.61337385,72.36500658
Madhya Pradesh,Dewas,1563107,23,76.166667
Tripura,Dhalai,377988,23.8253158,91.97322267
Chhattisgarh,Dhamtari,799199,20.7083903,81.5485253
Jharkhand,Dhanbad,2682662,23.7952809,86.4309638
Madhya Pradesh,Dhar,2184672,22.5,75.25
Tamil Nadu,Dharmapuri,1502900,12.09680475,78.19304301
Karnataka,Dharwad,1846993,15.4540505,75.0066516
Assam,Dhemaji,688077,27.4668315,94.51786509
Odisha,Dhenkanal,1192948,20.75,85.5
Rajasthan,Dholpur,1207293,26.7010642,77.896749
Assam,Dhubri,1948632,26.01894625,89.94188952
Maharashtra,Dhule,2048781,21.13050145,74.47891181
Assam,Dibrugarh,1327748,27.4844597,94.9019447
Assam,Dima Hasao,213529,25.40036255,93.07522923
Nagaland,Dimapur,379769,25.9136459,93.7283456
Tamil Nadu,Dindigul,2161367,10.3303299,78.06739791
Madhya Pradesh,Dindori,704218,20.25527235,73.80730056
Dadra and Nagar Haveli and Daman and Diu,Diu,52074,20.71817495,70.93238341
Jammu and Kashmir,Doda,409576,33.1774307,75.56752282
Jharkhand,Dumka,1321096,24.2538512,87.30064714
Rajasthan,Dungarpur,1388906,23.666667,73.75
Chhattisgarh,Durg,3343079,21.19903535,81.39795456
Bihar,East Champaran,5082868,26.583333,84.833333
Meghalaya,East Garo Hills,317618,25.61849455,90.63421622
Andhra Pradesh,East Godavari,5151549,17.233496,81.7225986
Meghalaya,East Jaintia Hills,122436,25.25157605,92.48405007
Arunachal Pradesh,East Kameng,78413,27.3,93.05
Meghalaya,East Khasi Hills,824059,25.40568085,91.83546771
Arunachal Pradesh,East Siang,99019,28.3,95.15
Sikkim,East Sikkim,281293,27.3084,88.6724
Jharkhand,East Singhbhum,2291032,22.8092139,86.2091549
Kerala,Ernakulam,3279860,9.98408,76.2741457
Tamil Nadu,Erode,2259608,11.3692044,77.67662687
Uttar Pradesh,Etah,1761152,27.5541146,78.6007864
Uttar Pradesh,Etawah,1579160,26.71832435,79.09025375
Haryana,Faridabad,1798954,28.4029786,77.3103837
Punjab,Faridkot,618008,30.60092505,74.79477423
Uttar Pradesh,Farrukhabad,1887577,27.43719385,79.48912947
Haryana,Fatehabad,941522,29.4688301,75.52107147
Punjab,Fatehgarh Sahib,599814,30.6600764,76.38002164
Uttar Pradesh,Fatehpur,2632684,25.8435395,80.91800397
Punjab,Fazilka,1180483,30.3360996,74.11794319
Punjab,Ferozepur,2026831,30.6839733,76.3594033
Uttar Pradesh,Firozabad,2496761,27.17736635,78.38991198
Karnataka,Gadag,1065235,15.434515,76.5294783
Maharashtra,Gadchiroli,1071795,19.75907035,80.16228073
Odisha,Gajapati,575880,19.19557415,84.19297736
Jammu and Kashmir,Ganderbal,297003,34.1934255,74.83434977
Gujarat,Gandhinagar,1387478,23.2232877,72.6492267
Rajasthan,Ganganagar,1969520,23.7497214,91.87663495
Odisha,Ganjam,3520151,19.4129711,85.04710406
Jharkhand,Garhwa,1322387,24.15529035,83.82522584
Chhattisgarh,Gariaband,597653,20.42857015,82.24698985
Chhattisgarh,Gaurela Pendra Marwahi,336420,22.8322152,81.95776399
Uttar Pradesh,Gautam Buddha Nagar,1674714,28.36760975,77.59740326
Bihar,Gaya,4379383,24.7964355,85.0079563
Uttar Pradesh,Ghaziabad,4661452,28.711241,77.4445372
Uttar Pradesh,Ghazipur,3622727,25.6035084,83.50745405
Gujarat,Gir Somnath,1217477,20.9911049,70.68806405
Jharkhand,Giridih,2445203,24.1608897,86.25113503
Assam,Goalpara,1008959,26.1783623,90.6226683
Jharkhand,Godda,1311382,24.74334305,87.29285062
Assam,Golaghat,1058674,26.40490095,94.03209112
Tripura,Gomati,436868,23.4613369,91.60718004
Uttar Pradesh,Gonda,3431386,27.1096669,81.91832912
Maharashtra,Gondia,1322331,-0.0891,97.8567
Bihar,Gopalganj,2558037,26.4207265,84.37406407
Uttar Pradesh,Gorakhpur,4436275,26.67132865,83.36458284
Jharkhand,Gumla,1025656,23.0916741,84.57384807
Madhya Pradesh,Guna,1240938,24.5,77.5
Andhra Pradesh,Guntur,4889230,16.2915189,80.4541588
Punjab,Gurdaspur,2299026,32.166667,75.316667
Haryana,Gurugram,1514085,28.4646148,77.0299194
Madhya Pradesh,Gwalior,2030543,26.2037247,78.1573628
Assam,Hailakandi,659260,24.68845365,92.57381528
Himachal Pradesh,Hamirpur,454293,25.75,80
Uttar Pradesh,Hamirpur,1104021,25.75,80
Rajasthan,Hanumangarh,1779650,29.36720015,74.29836365
Uttar Pradesh,Hapur,1338211,28.7406125,77.83542557
Madhya Pradesh,Harda,570302,22.3388828,77.0929933
Uttar Pradesh,Hardoi,4091380,27.33857665,80.09752646
Uttarakhand,Haridwar,1927029,29.9384473,78.1452985
Karnataka,Hassan,1776221,13.0070817,76.0992703
Uttar Pradesh,Hathras,1565678,27.57324325,78.11173867
Karnataka,Haveri,1598506,14.7874825,75.3996731
Jharkhand,Hazaribagh,1734005,23.9675151,85.43884569
Maharashtra,Hingoli,1178973,19.54140965,77.17376601
Haryana,Hisar,1742815,29.168807,75.7461103
Mizoram,Hnahthial,7187,22.9663656,93.01026449
Assam,Hojai,931218,26.00939085,92.84879014
West Bengal,Hooghly,5520389,22.9052114,88.3760639
Madhya Pradesh,Hoshangabad,1240975,22.6001502,77.92664521
Punjab,Hoshiarpur,1582793,31.60857425,75.84644247
West Bengal,Howrah,4841638,22.5736296,88.3251045
Telangana,Hyderabad,3441992,17.360589,78.4740613
