state,latitude,longitude,Population,Sex ratio,Area(km2),Density(per km2),Literacy Rate
Andaman and Nicobar Islands,11.66702557,92.73598262,417036,876,8249,50.56,86.63
Andhra Pradesh,14.7504291,78.57002559,53903393,996,162968,330.76,67.02
Arunachal Pradesh,27.10039878,93.61660071,1570458,938,83743,18.75,65.38
Assam,26.7499809,94.21666744,35607039,958,78438,453.95,72.19
Bihar,25.612677,85.158875,124799926,918,94163,1325.36,61.8
Chandigarh,30.71999697,76.78000565,1158473,818,114,10162.04,86.05
Chhattisgarh,22.09042035,82.15998734,29436231,991,135191,217.74,70.28
Dadra and Nagar Haveli and Daman and Diu,20.276266,73.008308,615724,774,603,1021.10,76.24
Delhi,28.6699929,77.23000403,18710922,618,1484,12608.44,87.1
Goa,15.491997,73.81800065,1586250,868,3702,428.48,86.21
Gujarat,22.309425,72.13623,63872399,973,196024,325.84,88.7
Haryana,29.102377,75.965996,28204692,919,44212,637.94,78.03
Himachal Pradesh,32.239632,77.188713,7451955,879,55673,133.85,75.55
Jammu and Kashmir,34.29995933,74.46665849,13606320,972,125535,108.39,82.8
Jharkhand,23.344315,85.296013,38593948,889,79714,484.16,67.16
Karnataka,12.57038129,76.91999711,67562686,948,191791,352.27,66.41
Kerala,10.850516,76.27108,35699443,973,38863,918.60,75.36
Ladakh,34.209515,77.615112,289023,1084,96701,2.99,94
Lakshadweep,13.6999972,72.1833326,73183,946,33,2243.50,91.85
Madhya Pradesh,23.473324,77.947998,85358965,931,308245,276.92,69.32
Maharashtra,19.101053,74.740677,123144223,929,307713,400.19,82.34
Manipur,24.79997072,93.95001705,3091545,985,22327,138.47,76.94
Meghalaya,25.57049217,91.8800142,3366710,989,22429,150.11,74.43
Mizoram,23.71039899,92.72001461,1239244,976,21081,58.78,91.33
Nagaland,25.6669979,94.11657019,2249695,931,16579,135.70,79.55
Odisha,20.479712,84.233147,46356334,979,155707,297.72,72.87
Puducherry,11.93499371,79.83000037,1413542,1037,479,2951.03,85.85
Punjab,30.210995,74.945473,30141373,895,50362,598.49,75.84
Rajasthan,26.44999921,74.63998124,81032689,928,342239,236.77,66.11
Sikkim,27.3333303,88.6166475,690251,890,7096,97.27,81.42
Tamil Nadu,10.775632,78.69236,77841267,996,130058,598.51,80.09
Telangana,17.123184,79.208824,39362732,988,112077,351.21,66.54
Tripura,23.83540428,91.27999914,4169794,960,10486,397.65,87.22
Uttar Pradesh,27.59998069,80.331871,237882725,930,240928,987.36,67.68
Uttarakhand,30.734627,79.066895,11250858,963,53483,210.36,78.82
West Bengal,22.58039044,88.32994665,99609303,950,88752,1122.33,76.26
